,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu
CD4 T cells memory_stromal_aggregatedNeighbors.Vessel,520.0,0.04361474175310945,0.24000196689035744,0.20781679070418047
CD4 T cells memory_stromal_aggregatedNeighbors.Fibroblasts,583.5,0.032240210832262306,0.38987036549130005,0.5966628543780064
CD4 T cells memory_stromal_aggregatedNeighbors.CD4.T.cells.naive,928.5,-0.048546759871802146,0.0006058390188948169,0.0005806949080857882
CD4 T cells memory_stromal_aggregatedNeighbors.CD4.T.cells.memory,989.0,-0.08424723233623958,2.6530881666031885e-05,3.615540414359585e-05
CD4 T cells memory_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,1002.0,-0.023506970689512244,0.00033295448008363517,1.6489036083376356e-05
CD4 T cells memory_stromal_aggregatedNeighbors.B.cells,811.0,-0.0068252359647828775,0.6026436042831775,0.03577381579604914
CD4 T cells memory_stromal_aggregatedNeighbors.CD8.T.cells,809.0,-0.041664662417386714,0.07660821879241832,0.03946971261705904
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,783.5,-0.016045519479989764,0.11076959730259482,0.07790868982591048
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,719.0,-0.005844148314646844,0.5496319430237945,0.3078406137294545
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.Granulocytes,713.0,-0.0036683422333640622,0.8509585598384882,0.3393761715654148
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.DCs,751.5,-0.0034247410001146577,0.3601233730458018,0.15355699682838989
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.Monocytes,693.0,1.8238821528217264e-05,0.9969128884549863,0.46919285469604655
CD4 T cells memory_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,292.5,0.12008865391260044,0.0002769404770307984,0.00010441380839515948
CD4 T cells memory_tumorfront_aggregatedNeighbors.Tumor.proliferating,752.0,-0.0020120808761025406,0.8100743719039215,0.1505737070108149
CD4 T cells memory_tumorfront_aggregatedNeighbors.Vessel,574.0,0.03373906397417578,0.28266912901388636,0.5229472564523787
CD4 T cells memory_tumorfront_aggregatedNeighbors.Fibroblasts,463.5,0.08707023293325375,0.02407557211890261,0.055644713790260675
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,931.5,-0.038948773445186366,0.0001980103644161929,0.0003179063069221147
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,1060.0,-0.09474614722557324,4.6044534845443824e-08,4.072392803965417e-07
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,957.5,-0.025486881669979047,0.00025570824497707183,9.178319308542646e-05
CD4 T cells memory_tumorfront_aggregatedNeighbors.B.cells,851.0,-0.00752349398205587,0.2791788302056251,0.006201444329918587
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD8.T.cells,915.0,-0.05184319066308746,0.02383278955094008,0.0008713774785139831
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,891.0,-0.03371856681353201,0.008126504643865754,0.002520624329190195
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,784.5,-0.03040093320886815,0.06478007987158287,0.07272298818114606
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,881.5,-0.011830188667388535,0.24236063339227154,0.0020909872311334035
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.DCs,738.0,0.010237260439411389,0.3953548680208233,0.18208599657766067
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,782.5,-0.011269430365291658,0.11276299076102357,0.07301667519224969
CD4 T cells regulatory_stromal_aggregatedNeighbors.Tumor.non.proliferating,634.0,0.012425950264365618,0.2756252240260305,0.9490300822130591
CD4 T cells regulatory_stromal_aggregatedNeighbors.Vessel,506.0,0.07339469529993792,0.0691630845101375,0.15503456554688946
CD4 T cells regulatory_stromal_aggregatedNeighbors.Fibroblasts,624.0,0.019855243921141574,0.5961737637885945,0.9494405851716894
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD4.T.cells.naive,1033.0,-0.06630305676765619,1.881709845891823e-05,2.3407609527100884e-06
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD4.T.cells.memory,1055.0,-0.09436118091976489,3.346709824639161e-06,8.829192556622264e-07
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,847.5,-0.017462327845602976,0.016470634558610538,0.006684334859270873
CD4 T cells regulatory_stromal_aggregatedNeighbors.B.cells,828.5,-0.01722361570852689,0.2037052615120576,0.018747071955434826
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD8.T.cells,845.0,-0.04410750805637713,0.06956668461062336,0.01186961151741116
CD4 T cells regulatory_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,872.0,-0.020544833038643434,0.1394335996553281,0.004273718667102316
CD4 T cells regulatory_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,777.0,-0.0011230241398905577,0.9539130993668294,0.08837237825843329
CD4 T cells regulatory_stromal_aggregatedNeighbors.Myeloid.Granulocytes,709.0,0.004647152276118838,0.8360236159791291,0.3530389490799708
CD4 T cells regulatory_stromal_aggregatedNeighbors.Myeloid.DCs,684.5,-0.00042757356716873786,0.9079373317687516,0.4484605298755775
CD4 T cells regulatory_stromal_aggregatedNeighbors.Myeloid.Monocytes,744.0,0.008438832837681199,0.4457174292107132,0.18189803288596929
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,577.0,0.03268402778381488,0.1340176234811021,0.5368036506768945
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Tumor.proliferating,724.0,-0.006611241266561645,0.696972553269849,0.23139926372786135
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Vessel,719.0,-0.005128454756210793,0.8895004247482589,0.30388895227215273
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Fibroblasts,609.0,0.03690743207857357,0.2559524430509685,0.8117598617452099
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,949.5,-0.04850918646717733,0.0017716345429538345,0.00010082796491570456
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,950.0,-0.07343170803936662,7.418527431787318e-05,0.00013234571887246657
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,905.0,-0.028417200089732496,0.0008049761191875738,0.0005469618818324856
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.B.cells,671.0,0.006397782886269734,0.4998913913589563,0.48980548022681114
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD8.T.cells,961.0,-0.07271563394398403,8.812389867950871e-05,4.5779000457735375e-05
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,938.5,-0.06224937505936665,0.00023178356462456542,0.00022856736423525475
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,796.0,-0.022339125068828278,0.07098328216806823,0.043598635030802864
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,752.0,-0.008146350676136813,0.5259271482052987,0.1055459098714323
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.DCs,765.5,-0.010616579152363748,0.05197508114526427,0.06177131186945285
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,836.0,-0.021842447890066452,0.07788418288467376,0.013551774061611833
B cells_stromal_aggregatedNeighbors.Tumor.non.proliferating,612.0,0.00022953056761191134,0.4866924373331267,0.6500179626879616
B cells_stromal_aggregatedNeighbors.Vessel,598.5,0.02679204444146216,0.399473607118889,0.7204123365613735
B cells_stromal_aggregatedNeighbors.Fibroblasts,615.0,0.006966139294004109,0.813048754541848,0.8670453206706632
B cells_stromal_aggregatedNeighbors.CD4.T.cells.naive,916.0,-0.05485201763993087,0.001753519063888554,0.0007863259442825452
B cells_stromal_aggregatedNeighbors.CD4.T.cells.memory,948.5,-0.06154116257770611,0.00010083781083436106,0.00023443545334426993
B cells_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,875.0,-0.0029602189309546785,0.7826505882446688,0.0035804431495378157
B cells_stromal_aggregatedNeighbors.B.cells,811.5,-0.046791538887023185,0.16106561452915708,0.033284736534963284
B cells_stromal_aggregatedNeighbors.CD8.T.cells,780.0,-0.03795109283967513,0.11291771807576664,0.08297626700128298
B cells_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,756.5,-0.013113083409761389,0.2593481089280303,0.1394269320994478
B cells_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,794.0,-0.011919336112999258,0.2239048065904186,0.05571960139092575
B cells_stromal_aggregatedNeighbors.Myeloid.Granulocytes,534.5,0.004500867012904489,0.7867368980699508,0.2576900272710746
B cells_stromal_aggregatedNeighbors.Myeloid.DCs,701.5,-0.004754144154123926,0.19838759412006657,0.3675333631287485
B cells_stromal_aggregatedNeighbors.Myeloid.Monocytes,611.0,0.010158934603921173,0.17401110390019606,0.8261751183711954
B cells_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,621.0,0.03962479723325478,0.21293081485144316,0.9147577751177598
B cells_tumorfront_aggregatedNeighbors.Tumor.proliferating,742.5,-0.007640049368782535,0.49601886571732057,0.07109009974166493
B cells_tumorfront_aggregatedNeighbors.Vessel,668.5,-0.015613792943212468,0.6220270284749385,0.6369605961244973
B cells_tumorfront_aggregatedNeighbors.Fibroblasts,596.0,0.02417917897921508,0.5663764291708118,0.6706442230466867
B cells_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,877.0,-0.06215415676006687,0.000698059849162035,0.0010247785062487103
B cells_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,920.0,-0.058952235502091235,0.00022356010788317004,0.0002649893378207092
B cells_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,751.5,-0.003422140696467506,0.7948682157525125,0.05117965841981928
B cells_tumorfront_aggregatedNeighbors.B.cells,767.5,-0.03432835294509976,0.17332840766666338,0.07679321110641654
