,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu
CD4 T cells naive_tumorfront_pSTAT3,506.0,0.008070567841660513,0.2907543111592878,0.174493705964463
CD4 T cells naive_tumorfront_CD36,651.5,-0.026964750464706283,0.18551766024291613,0.7550242018619775
CD4 T cells naive_tumorfront_E-Cadherin,620.5,0.00027735791717052594,0.9868176092718837,0.9723436382794879
CD4 T cells naive_tumorfront_VEGF,508.5,0.01627266760604118,0.28720435901344377,0.18385444893441572
CD4 T cells naive_tumorfront_pCREB,482.5,0.1286963377447159,0.17933432317815798,0.10321874605857016
CD4 T cells naive_tumorfront_pNFkB,529.5,0.018489533642444045,0.47733533772548675,0.27734761766250815
CD4 T cells naive_tumorfront_GranzymeB,492.5,0.084240458065578,0.20187033784460404,0.1300557759151415
CD4 T cells naive_tumorfront_Ki67,529.0,0.019806898932601555,0.08626829737425795,0.2747879913346336
CD4 T cells naive_tumorfront_CD44,731.5,-0.08399069315201135,0.15455761526851342,0.21626178715235167
CD4 T cells naive_tumorfront_pERK,426.0,0.049010475306606543,0.023672879062765377,0.02246356924921145
CD4 T cells naive_tumorfront_pMAPKAPK2,564.5,0.016390284571727504,0.5869011748798778,0.49534979921416245
CD4 T cells naive_tumorfront_pS6,410.5,0.25768903289969913,0.007980677691449143,0.01383563343035801
CD4 T cells memory_stromal_pp38,597.5,0.0009834680296850334,0.9129027023259434,0.7638223941508084
CD4 T cells memory_stromal_pSTAT1,660.5,-0.0021290277699676577,0.6496430674465362,0.6773890497305104
CD4 T cells memory_stromal_pSTAT3,611.5,0.00024951019178948153,0.9691438142664808,0.8897060167769131
CD4 T cells memory_stromal_CD36,687.5,-0.022722537443188695,0.26955199793299867,0.46658291139981767
CD4 T cells memory_stromal_E-Cadherin,619.5,-0.007076182119836363,0.5934247145822034,0.9631305947363666
CD4 T cells memory_stromal_VEGF,528.5,0.00546541192294038,0.7029072342580509,0.2722685343869954
CD4 T cells memory_stromal_pCREB,454.5,0.09422022241067463,0.244701002150125,0.05081683264823806
CD4 T cells memory_stromal_pNFkB,528.5,0.017662236084242333,0.36082862097023227,0.2722685343869954
CD4 T cells memory_stromal_GranzymeB,516.5,0.07241801366897932,0.26394569696181586,0.21626178715235167
CD4 T cells memory_stromal_Ki67,617.5,0.001626811514968761,0.8454661278835514,0.9447204946412081
CD4 T cells memory_stromal_CD44,817.5,-0.1539339498304898,0.010689337576470578,0.02572250890891115
CD4 T cells memory_stromal_pERK,559.5,0.006131622568231354,0.6865413078982857,0.45953881936878493
CD4 T cells memory_stromal_pMAPKAPK2,612.5,-0.009178480796605715,0.7577238316724809,0.898845532417527
CD4 T cells memory_stromal_pS6,394.5,0.2078134497505707,0.010903574418681656,0.008135250295483447
CD4 T cells memory_tumorfront_pp38,638.5,0.0006169487947555452,0.9586113229825546,0.8714624689724447
CD4 T cells memory_tumorfront_pSTAT1,728.0,-0.006827428998197563,0.31966982800891214,0.23159008167016082
CD4 T cells memory_tumorfront_pSTAT3,544.0,0.006880162379641709,0.36772990387350113,0.35816028626613694
CD4 T cells memory_tumorfront_CD36,743.5,-0.04023751043613488,0.13200817301962142,0.16903549943517526
CD4 T cells memory_tumorfront_E-Cadherin,635.5,-0.003169392522446468,0.8600904521939423,0.8988379400793997
CD4 T cells memory_tumorfront_VEGF,510.5,0.01796408695883235,0.33204525319294353,0.19156405077461458
CD4 T cells memory_tumorfront_pCREB,499.5,0.10033443830824074,0.29458493463899393,0.15183050228486664
CD4 T cells memory_tumorfront_pNFkB,574.5,0.01037686046086006,0.6844779998925399,0.571187189873888
CD4 T cells memory_tumorfront_GranzymeB,557.5,0.07835188335820104,0.25209812681310917,0.4455965665710562
CD4 T cells memory_tumorfront_Ki67,606.5,0.014085646717186436,0.3554964300389608,0.8442401266689266
CD4 T cells memory_tumorfront_CD44,723.5,-0.10707575933787933,0.0976176609708892,0.2525551814464764
CD4 T cells memory_tumorfront_pERK,548.5,0.02516910177073052,0.3067439558185049,0.3860561350996754
CD4 T cells memory_tumorfront_pMAPKAPK2,624.5,-0.0038204797610503494,0.9049666631959277,1.0
CD4 T cells memory_tumorfront_pS6,497.5,0.15072502373529284,0.12541518138425384,0.1453345473441318
CD4 T cells regulatory_stromal_pp38,609.0,0.0035599548299249384,0.7468318943422698,0.8665208249500838
CD4 T cells regulatory_stromal_pSTAT1,670.0,-0.007541092612843997,0.30051107768196794,0.5979008978822526
CD4 T cells regulatory_stromal_pSTAT3,618.0,-0.0018575405482066862,0.8205761640037924,0.9491268948843639
CD4 T cells regulatory_stromal_CD36,663.0,-0.012212386462810573,0.5902037021268128,0.6557860335437409
CD4 T cells regulatory_stromal_E-Cadherin,588.0,-0.0020927367618756992,0.8834132748681253,0.6810682968555042
CD4 T cells regulatory_stromal_VEGF,530.0,0.0017922745538305612,0.9175218231984544,0.27902678278316995
CD4 T cells regulatory_stromal_pCREB,547.0,0.023294309960665283,0.7960707592212082,0.37578540122142834
CD4 T cells regulatory_stromal_pNFkB,570.0,-0.004306717910425278,0.8802530938228624,0.5354241301014051
CD4 T cells regulatory_stromal_GranzymeB,567.0,-0.02381664955081586,0.7753186936049862,0.5127900180601587
CD4 T cells regulatory_stromal_Ki67,591.0,-0.009722871276258038,0.6450904074835488,0.7056253348857955
CD4 T cells regulatory_stromal_CD44,810.0,-0.09566117272781216,0.04296333787463141,0.0317415767122238
CD4 T cells regulatory_stromal_pERK,470.0,0.02150356423312351,0.3173024612155079,0.0751867940437746
CD4 T cells regulatory_stromal_pMAPKAPK2,656.0,-0.015496960415909866,0.6667776105772958,0.7151875635283695
CD4 T cells regulatory_stromal_pS6,397.0,0.25587698167309647,0.027023988607976522,0.00873301455367892
CD4 T cells regulatory_tumorfront_pp38,674.0,-0.018979337138305664,0.3056093553723485,0.5585971005595516
CD4 T cells regulatory_tumorfront_pSTAT1,708.5,-0.0131340166650812,0.13878266821157234,0.32089939443539806
CD4 T cells regulatory_tumorfront_pSTAT3,644.0,-0.007873358214834127,0.39334595766159264,0.817761059887219
CD4 T cells regulatory_tumorfront_CD36,689.0,-0.03591184479080872,0.24471866432142614,0.450133613557243
CD4 T cells regulatory_tumorfront_E-Cadherin,746.0,-0.0462315298743977,0.050321794396416784,0.15403929998907578
CD4 T cells regulatory_tumorfront_VEGF,575.5,0.0038965259294918286,0.8489520951673222,0.5733503519048055
CD4 T cells regulatory_tumorfront_pCREB,608.0,-0.03639299195769019,0.7231685093306401,0.8559905806286978
CD4 T cells regulatory_tumorfront_pNFkB,667.5,-0.03702121694512932,0.30403397157708795,0.6139343851241501
CD4 T cells regulatory_tumorfront_GranzymeB,594.0,0.0834067309672375,0.4019116840976432,0.7297951621139509
CD4 T cells regulatory_tumorfront_Ki67,564.0,0.019477598799065604,0.2732912276073241,0.47938178162772693
CD4 T cells regulatory_tumorfront_CD44,729.0,-0.10215862732084544,0.06923367395527695,0.2202106464828637
CD4 T cells regulatory_tumorfront_pERK,645.0,-0.01462862934699996,0.5671939469792813,0.8103129255250262
CD4 T cells regulatory_tumorfront_pMAPKAPK2,655.0,-0.024238550480772586,0.6109351579022813,0.7210121294043814
CD4 T cells regulatory_tumorfront_pS6,515.0,0.16855764061388567,0.2483146211447628,0.2039556322365298
B cells_stromal_pp38,504.0,0.00785249307175638,0.42975173605122596,0.16716284136724824
B cells_stromal_pSTAT1,684.0,-0.002745118774903306,0.619067992238856,0.4915793868561189
B cells_stromal_pSTAT3,489.0,0.006690111933157605,0.38915460103393096,0.11993501542456378
B cells_stromal_CD36,573.0,0.0043188671570980885,0.8417717854778161,0.5593803478303806
B cells_stromal_E-Cadherin,498.0,0.012398361651971196,0.39638215779187413,0.14685348835866482
B cells_stromal_VEGF,467.0,0.023273149981469274,0.26848003740742443,0.07043784916728356
B cells_stromal_pCREB,461.0,0.10718149916642639,0.26212032992264805,0.06032064841031435
