,Statistic,p-value ttest,p-value mannwhitneyu
CD8.T.cells.memory_stromal_aggregatedNeighbors.Granulocytes,409.0,0.007836491065800642,0.006651689279761506
CD8.T.cells.memory_stromal_aggregatedNeighbors.M1.macrophages,434.0,0.42010696447488516,0.027628526871924634
CD8.T.cells.memory_stromal_aggregatedNeighbors.M2.macrophages,519.0,0.8988628720570948,0.2211301105417579
CD8.T.cells.memory_stromal_aggregatedNeighbors.Tumor.non.proliferating,718.5,0.21793619965956137,0.25209648955911224
CD8.T.cells.memory_stromal_aggregatedNeighbors.Vessel,463.0,0.11997136054850178,0.06361893764021528
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.Bcells,569.5,0.1376215177103421,0.5083589153262742
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,676.5,0.2496966270451611,0.5399661992065269
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,546.5,0.19956416572486652,0.33687978282114905
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,759.0,0.10202381385742372,0.09759198015274281
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.CD8.T.cells.memory,797.5,0.024651029527238605,0.04536404311534443
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.CD8.T.cells.naive,682.0,0.7356424207075329,0.5047432691315319
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.DCs,553.0,0.04214573352179933,0.32706240579837165
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.Fibroblasts,568.0,0.17441574883218888,0.5208332708364524
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.Granulocytes,540.5,0.07702796453159158,0.22666675827148264
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.M1.macrophages,562.0,0.9966252523301594,0.4705925444463205
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.M2.macrophages,545.0,0.4328255146277519,0.3610090248393658
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.Monocytes,680.0,0.34597727384230326,0.4825767549970895
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,712.5,0.37350956293397264,0.30916081998004896
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.Tumor.proliferating,609.5,0.20056598019139552,0.8707351589306378
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.Vessel,534.0,0.07534045719105398,0.30091389792311185
CD8.T.cells.naive_intratumor_aggregatedNeighbors.CD8.T.cells.memory,795.5,0.08048355860935226,0.034070942465938614
CD8.T.cells.naive_intratumor_aggregatedNeighbors.CD8.T.cells.naive,719.0,0.13505772176844819,0.2109262925743125
CD8.T.cells.naive_intratumor_aggregatedNeighbors.DCs,634.0,0.39089386720228136,0.8559733283589017
CD8.T.cells.naive_intratumor_aggregatedNeighbors.M1.macrophages,613.0,0.9856800036121072,0.880438452344458
CD8.T.cells.naive_intratumor_aggregatedNeighbors.M2.macrophages,638.5,0.9471023396594866,0.8583031881736685
CD8.T.cells.naive_intratumor_aggregatedNeighbors.Monocytes,691.5,0.34237329377081616,0.2188667925041453
CD8.T.cells.naive_intratumor_aggregatedNeighbors.Tumor.non.proliferating,755.5,0.1571173199738849,0.12254593422434785
CD8.T.cells.naive_intratumor_aggregatedNeighbors.Tumor.proliferating,704.0,0.13530585203460538,0.2975788500946175
CD8.T.cells.naive_stromal_aggregatedNeighbors.Bcells,538.0,0.14564261602395592,0.31845370383447147
CD8.T.cells.naive_stromal_aggregatedNeighbors.CD4.T.cells.memory,636.0,0.7633028442463731,0.892678953609389
CD8.T.cells.naive_stromal_aggregatedNeighbors.CD4.T.cells.naive,627.0,0.6035427417609689,0.976762317436544
CD8.T.cells.naive_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,679.5,0.9011683443573845,0.5048827604640826
CD8.T.cells.naive_stromal_aggregatedNeighbors.CD8.T.cells.memory,676.5,0.8110316702286977,0.5471160274607129
CD8.T.cells.naive_stromal_aggregatedNeighbors.CD8.T.cells.naive,572.0,0.8240994056179461,0.5478911988375332
CD8.T.cells.naive_stromal_aggregatedNeighbors.Fibroblasts,731.0,0.7638254898467249,0.2179522774318582
CD8.T.cells.naive_stromal_aggregatedNeighbors.Granulocytes,379.5,0.013033180637216252,0.0006941023195554497
CD8.T.cells.naive_stromal_aggregatedNeighbors.M1.macrophages,492.0,0.0800829593095394,0.11544425191623173
CD8.T.cells.naive_stromal_aggregatedNeighbors.M2.macrophages,520.5,0.808527169509541,0.21925058116906415
CD8.T.cells.naive_stromal_aggregatedNeighbors.Tumor.non.proliferating,786.0,0.1273099010094623,0.022736417427243538
CD8.T.cells.naive_stromal_aggregatedNeighbors.Vessel,430.0,0.1447046782235985,0.025293829643731433
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.Bcells,554.0,0.39645273418598515,0.34657031594833876
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,634.0,0.7541823873810594,0.9062838817040139
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,540.0,0.16247513233934996,0.2869671381008567
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,625.0,0.967803367431693,0.9939675996832916
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.CD8.T.cells.memory,775.5,0.05417041917905482,0.07890319646926384
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.CD8.T.cells.naive,622.0,0.921556981805861,0.985773529881772
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.DCs,624.5,0.1272573207116451,1.0
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.Fibroblasts,726.5,0.7193954844796693,0.2303730104499514
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.Granulocytes,569.5,0.07451412843569216,0.3548495471130009
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.M1.macrophages,654.0,0.34628208956756346,0.7205891197927992
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.M2.macrophages,521.0,0.35665122744057776,0.21394889658681615
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.Monocytes,616.0,0.2741815631893556,0.9190958027439212
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,872.5,0.005150706229521084,0.004042087761156324
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.Tumor.proliferating,650.5,0.7802516441458751,0.7402209358819385
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.Vessel,501.5,0.07948500279602413,0.15618552737596827
DCs_intratumor_aggregatedNeighbors.CD8.T.cells.memory,585.0,0.9981121271751958,0.5330349511155936
DCs_intratumor_aggregatedNeighbors.CD8.T.cells.naive,633.5,0.24733855266492327,0.8572098089369942
DCs_intratumor_aggregatedNeighbors.DCs,545.5,0.2023242302934474,0.20653942687302518
DCs_intratumor_aggregatedNeighbors.M1.macrophages,594.0,0.44740101614987005,0.6328736239109072
DCs_intratumor_aggregatedNeighbors.M2.macrophages,607.0,0.8662222196039107,0.8185617588842008
DCs_intratumor_aggregatedNeighbors.Monocytes,651.0,0.25673052107629446,0.5255587466783365
DCs_intratumor_aggregatedNeighbors.Tumor.non.proliferating,601.5,0.7413621249912972,0.7885377541500581
DCs_intratumor_aggregatedNeighbors.Tumor.proliferating,626.5,0.6243927163202214,0.9726612865579553
DCs_tumorfront_aggregatedNeighbors.Bcells,544.0,0.2737237996158746,0.05685803941057765
DCs_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,515.5,0.2343978485851917,0.06424908662002553
DCs_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,469.0,0.5617268743872945,0.003159269179154869
DCs_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,611.0,0.9678060844916316,0.7924545390767457
DCs_tumorfront_aggregatedNeighbors.CD8.T.cells.memory,664.5,0.08244021301918486,0.5832183475291576
DCs_tumorfront_aggregatedNeighbors.CD8.T.cells.naive,695.5,0.14802094378963793,0.223769721335227
DCs_tumorfront_aggregatedNeighbors.DCs,445.5,0.0029765442826290567,0.00492615160913785
DCs_tumorfront_aggregatedNeighbors.Fibroblasts,686.0,0.10797205039035893,0.3702672325054023
DCs_tumorfront_aggregatedNeighbors.Granulocytes,583.0,0.7195202688626126,0.2415182157700384
DCs_tumorfront_aggregatedNeighbors.M1.macrophages,526.0,0.7712053907220969,0.20567420366077294
DCs_tumorfront_aggregatedNeighbors.M2.macrophages,558.0,0.8417947714351934,0.40724762937683534
DCs_tumorfront_aggregatedNeighbors.Monocytes,581.0,0.6856316659885517,0.3086419546719552
DCs_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,630.5,0.7977049248281176,0.9433012738395699
DCs_tumorfront_aggregatedNeighbors.Tumor.proliferating,514.5,0.3447045338284509,0.0923337995619937
DCs_tumorfront_aggregatedNeighbors.Vessel,563.5,0.45064987195100803,0.40413131272321146
Fibroblasts_stromal_aggregatedNeighbors.Bcells,678.0,0.43094887049692987,0.5361170091484599
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.memory,734.5,0.10370574362357705,0.2035291000754651
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.naive,658.0,0.42315391399892444,0.6984546039376074
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,694.5,0.044864738113859846,0.41588029776921986
Fibroblasts_stromal_aggregatedNeighbors.CD8.T.cells.memory,717.0,0.18736169776820932,0.2850744675253247
Fibroblasts_stromal_aggregatedNeighbors.CD8.T.cells.naive,655.0,0.6010592903680527,0.72430269204021
Fibroblasts_stromal_aggregatedNeighbors.Fibroblasts,515.0,0.16610744222736068,0.20989523424683487
Fibroblasts_stromal_aggregatedNeighbors.Granulocytes,440.5,0.05317146966625665,0.02905671706553092
Fibroblasts_stromal_aggregatedNeighbors.M1.macrophages,407.0,0.059760634814165665,0.012191361547360067
Fibroblasts_stromal_aggregatedNeighbors.M2.macrophages,569.0,0.5855533723173154,0.5285245876928661
Fibroblasts_stromal_aggregatedNeighbors.Tumor.non.proliferating,653.0,0.23428898845420731,0.7416379256996988
Fibroblasts_stromal_aggregatedNeighbors.Vessel,491.0,0.44670709657528185,0.12571906488670018
Fibroblasts_tumorfront_aggregatedNeighbors.Bcells,606.5,0.22944772941758995,0.8254007666198119
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,560.0,0.5380852522204462,0.46093735313210693
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,444.0,0.021954213804982508,0.03165218565622092
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,667.5,0.4568772580963699,0.61136745545597
Fibroblasts_tumorfront_aggregatedNeighbors.CD8.T.cells.memory,683.0,0.27805819997533676,0.4985823465231729
Fibroblasts_tumorfront_aggregatedNeighbors.CD8.T.cells.naive,657.0,0.6593574379318825,0.7045220335831496
Fibroblasts_tumorfront_aggregatedNeighbors.DCs,562.0,0.09638753483094385,0.3857288295643967
Fibroblasts_tumorfront_aggregatedNeighbors.Fibroblasts,590.0,0.814396854871241,0.6986494207711703
Fibroblasts_tumorfront_aggregatedNeighbors.Granulocytes,537.5,0.07440461622959192,0.20216802128480493
Fibroblasts_tumorfront_aggregatedNeighbors.M1.macrophages,480.0,0.6373866977020302,0.09597568724902124
Fibroblasts_tumorfront_aggregatedNeighbors.M2.macrophages,503.0,0.8420898263271301,0.16214823723197191
Fibroblasts_tumorfront_aggregatedNeighbors.Monocytes,658.5,0.3318302315167597,0.6451837984565875
Fibroblasts_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,764.0,0.08711798943977932,0.10692897430347881
Fibroblasts_tumorfront_aggregatedNeighbors.Tumor.proliferating,654.0,0.44697147407056026,0.7287072129180119
Fibroblasts_tumorfront_aggregatedNeighbors.Vessel,417.5,0.07071089475425986,0.017284079580523116
Granulocytes_stromal_aggregatedNeighbors.Bcells,401.0,0.1812147202496963,0.00290062147722751
Granulocytes_stromal_aggregatedNeighbors.CD4.T.cells.memory,491.0,0.7858583277682626,0.08254888820913463
Granulocytes_stromal_aggregatedNeighbors.CD4.T.cells.naive,530.0,0.8780430193152198,0.1872648876205545
Granulocytes_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,600.5,0.8454311695137093,0.7491597478626661
