,Fold selected features,Fold nb of features
Fold 84,"['ADAMTS13', 'AOC1', 'CALB2', 'CCL14', 'CCL20', 'CEACAM3', 'CES2', 'CNTN2', 'CNTNAP2', 'CRTAC1', 'CSTB', 'CTSF', 'EGLN1', 'FABP4', 'FBP1', 'FCAR', 'FCN2', 'GFAP', 'GGT1', 'HLA-DRA', 'ICAM5', 'IFNGR2', 'IGF2R', 'IL16', 'IL17C', 'IL22RA1', 'IL33', 'IL5', 'KLK10', 'LILRA5', 'LRPAP1', 'LTA', 'LTO1', 'LY96', 'LYPD1', 'MDGA1', 'MSLN', 'MSTN', 'MUC13', 'MZB1', 'NFATC3', 'NPTXR', 'OMG', 'PAEP', 'PCOLCE', 'PDGFC', 'PIGR', 'PPY', 'PRL', 'PTPRM', 'RANGAP1', 'SPINT1', 'SRP14', 'TFPI2', 'THPO', 'TMPRSS5', 'TMSB10', 'TNFRSF8', 'VWF', 'XPNPEP2']",60
Fold 85,"['CCL20', 'CES2', 'CRTAC1', 'DKKL1', 'FOSB', 'GFRA2', 'GGT5', 'GPA33', 'HDGF', 'HLA-DRA', 'IGF2R', 'MDGA1', 'MET', 'MUC13', 'MZB1', 'NINJ1', 'PON3', 'PPY', 'RANGAP1', 'SPINT1', 'TDGF1', 'TNC', 'XPNPEP2']",23
Fold 86,"['CCL20', 'LGALS1', 'LGALS9', 'MZB1']",4
Fold 87,"['ACE2', 'ADAMTS13', 'AFP', 'AMN', 'AOC1', 'B4GAT1', 'BAIAP2', 'CA6', 'CALB2', 'CASC4', 'CCL19', 'CCL20', 'CCL22', 'CCL7', 'CD28', 'CD63', 'CD79B', 'CDH17', 'CDH5', 'CHIT1', 'CLEC4G', 'CNTN5', 'COL4A1', 'COPE', 'CPA2', 'CRTAC1', 'CSF2RA', 'CTSH', 'CTSS', 'CXCL8', 'DKKL1', 'DPT', 'DPY30', 'DSG4', 'EPCAM', 'EPHA10', 'EREG', 'FABP1', 'FABP5', 'FBP1', 'FCN2', 'FOSB', 'GDF15', 'GFRA2', 'GGH', 'GGT1', 'GGT5', 'GPA33', 'GPKOW', 'GRN', 'HBQ1', 'HMBS', 'IGF2R', 'IL11', 'IL13', 'IL17A', 'IL1A', 'IL1RAP', 'IL22RA1', 'JUN', 'KCNIP4', 'KLB', 'KLK10', 'KLK12', 'KLK14', 'LGALS1', 'LGALS9', 'LILRB1', 'LTBP3', 'LY9', 'LYPD1', 'MARCO', 'MDGA1', 'MET', 'MTPN', 'MUC13', 'MZB1', 'NCLN', 'NEFL', 'NOS1', 'NPY', 'OMG', 'PAEP', 'PARP1', 'PDGFC', 'PIGR', 'PKLR', 'PLAUR', 'PON3', 'PPY', 'PRDX1', 'PRKRA', 'PRL', 'PSIP1', 'PTPRM', 'RANGAP1', 'RARRES1', 'S100A16', 'SCP2', 'SDC1', 'SHMT1', 'SIGLEC7', 'SIGLEC9', 'SLC16A1', 'SLC39A5', 'SMOC2', 'SOD2', 'SPINT1', 'SRP14', 'STC1', 'TCL1A', 'TDGF1', 'TFPI2', 'THBS2', 'TIMP1', 'TNC', 'TNFRSF11A', 'TNFRSF11B', 'TNFRSF13B', 'TNFRSF8', 'TNFSF11', 'TPSAB1', 'TPT1', 'TREM2', 'TSPAN1', 'VWA1', 'VWF', 'WFIKKN1', 'XPNPEP2']",129
Fold 88,"['CCL7', 'GDF15', 'LGALS1', 'MZB1']",4
Fold 89,"['ADAM15', 'ADGRG1', 'ANGPTL2', 'ANXA3', 'B4GAT1', 'CASP1', 'CCL15', 'CCL20', 'CDH17', 'CDHR2', 'CELA3A', 'CHI3L1', 'COL9A1', 'CPA2', 'CRTAC1', 'CSTB', 'CTRB1', 'CTSH', 'DKKL1', 'ENPP7', 'FOSB', 'GNLY', 'GPC5', 'GZMA', 'HCLS1', 'HLA-DRA', 'IGF2R', 'IL12RB1', 'IL18RAP', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK1', 'LGALS1', 'MDGA1', 'MILR1', 'MSLN', 'MUC13', 'MZB1', 'NINJ1', 'PDGFC', 'PIGR', 'PLAUR', 'PM20D1', 'PON3', 'S100A16', 'SCARB1', 'SMOC2', 'SPINT1', 'SRP14', 'TDGF1', 'THBS2', 'THPO', 'TMPRSS5', 'TNFRSF8', 'TNFSF12', 'XPNPEP2']",57
Fold 90,"['CCL20', 'CD164', 'CD276', 'CES2', 'DLL1', 'FOSB', 'MDGA1', 'MZB1', 'NDRG1', 'PDGFC', 'PON3', 'TMSB10', 'TNFRSF8']",13
Fold 91,"['ACE2', 'ACP5', 'ADAMTS13', 'ANG', 'AOC1', 'BAIAP2', 'CA6', 'CALB2', 'CCL19', 'CCL20', 'CD276', 'CD300E', 'CD5', 'CD74', 'CDH17', 'CDHR1', 'CDHR2', 'CHIT1', 'COL4A1', 'COL6A3', 'COLEC12', 'CPA2', 'CPPED1', 'CRTAC1', 'CST3', 'CTSF', 'CXCL8', 'DDC', 'DDR1', 'DKKL1', 'DLL1', 'DPT', 'DSG2', 'DSG4', 'ENG', 'EPCAM', 'FCGR2A', 'FOLR1', 'FOSB', 'GFOD2', 'GFRA1', 'GFRA2', 'GNLY', 'GPC5', 'HAVCR2', 'HDGF', 'ICAM1', 'IGF2R', 'IGFBPL1', 'IL13', 'IL17C', 'IL22RA1', 'IL2RA', 'IL32', 'IL5', 'ITGB6', 'JCHAIN', 'KIR2DL3', 'KLK12', 'KLRD1', 'L1CAM', 'LEP', 'LGALS9', 'LILRA5', 'LILRB1', 'LY96', 'LYPD1', 'MDGA1', 'MET', 'MGMT', 'MILR1', 'MSLN', 'MSR1', 'MUC13', 'MZB1', 'NCAM2', 'NOMO1', 'NPTN', 'NTRK3', 'PARP1', 'PDGFC', 'PON3', 'PPY', 'PRKRA', 'PRL', 'PRSS8', 'PSIP1', 'PTH1R', 'RANGAP1', 'S100A16', 'SCGN', 'SCP2', 'SDC1', 'SERPINB9', 'SEZ6L2', 'SFTPA2', 'SLC39A5', 'SMOC2', 'SMPDL3A', 'SPINT1', 'SRP14', 'SSB', 'TAFA5', 'TFPI2', 'TMPRSS15', 'TMPRSS5', 'TNC', 'TNFRSF11A', 'TNFRSF4', 'TNFRSF6B', 'TPT1', 'TSLP', 'TSPAN1', 'XPNPEP2']",114
Fold 92,"['IL2RA', 'LGALS1', 'LGALS9', 'MZB1']",4
Fold 93,"['BAIAP2', 'CCL7', 'CRTAC1', 'CXCL8', 'LGALS1', 'MZB1', 'NOMO1', 'PON3', 'SDC1', 'TNFRSF10A', 'VWA1']",11
Fold 94,"['ANGPTL2', 'CCL20', 'CDHR1', 'CNTN2', 'CRTAC1', 'FBP1', 'HDGF', 'MAGED1', 'MUC13', 'MZB1', 'XPNPEP2']",11
Fold 95,"['CCL7', 'LGALS1', 'MZB1', 'POLR2F']",4
Fold 96,"['CASP1', 'CCL20', 'CRTAC1', 'FOSB', 'LGALS1', 'MZB1', 'PDGFC', 'SSB', 'SSC5D', 'TNFRSF8']",10
Fold 97,"['ANGPTL2', 'CCL20', 'CCL7', 'CPA2', 'CRTAC1', 'CTSH', 'DSG4', 'LGALS1', 'MZB1', 'NDRG1', 'PON3', 'SPINT1']",12
Fold 98,"['ACE2', 'ACP5', 'ADAM15', 'ADAM23', 'ADAMTS15', 'ADGRG1', 'AHSP', 'ANGPTL2', 'AOC1', 'BAIAP2', 'BST1', 'CA6', 'CCL15', 'CCL20', 'CD276', 'CD38', 'CDHR1', 'CHIT1', 'CLEC11A', 'CLUL1', 'COL6A3', 'COLEC12', 'CPA2', 'CRTAC1', 'CTSH', 'CTSL', 'CXCL5', 'DKKL1', 'DLL1', 'ENPP7', 'EPCAM', 'FABP4', 'FCN2', 'FCRL5', 'FGF5', 'FGR', 'FOSB', 'GDF15', 'GFAP', 'GFRA2', 'GGH', 'GGT5', 'GNLY', 'GPA33', 'GPC5', 'GRN', 'HBQ1', 'HDGF', 'HLA-DRA', 'HMBS', 'IGSF3', 'IL17C', 'IL2RA', 'IL5RA', 'ITIH3', 'JCHAIN', 'KCNIP4', 'KIR2DL3', 'KLK1', 'KLK10', 'KLRB1', 'KLRD1', 'KRT19', 'LGALS1', 'LHB', 'LILRA5', 'LILRB1', 'LRP11', 'LRPAP1', 'LRRC25', 'LRRN1', 'LY9', 'LY96', 'LYPD1', 'MAGED1', 'MARCO', 'MDGA1', 'MET', 'MUC13', 'MZB1', 'NRP2', 'NTRK3', 'PDGFC', 'PLA2G7', 'PLAUR', 'PM20D1', 'POLR2F', 'PON3', 'PPY', 'PRKRA', 'PSIP1', 'PSPN', 'RANGAP1', 'REN', 'RETN', 'S100A16', 'SCP2', 'SERPINA11', 'SIGLEC9', 'SLC39A5', 'SMOC2', 'SPINT1', 'SRP14', 'SSC5D', 'TFPI2', 'THBS2', 'THPO', 'TNFRSF11A', 'TNFRSF13B', 'TNFRSF8', 'TNFSF12', 'TPT1', 'VWA1']",113
Fold 99,"['AMY2B', 'ANGPTL2', 'APOM', 'ATP6V1D', 'BAIAP2', 'CCL15', 'CCL19', 'CCL20', 'CD34', 'CD5', 'CDH17', 'CDHR1', 'CEACAM5', 'CELA3A', 'CES2', 'CHIT1', 'COL9A1', 'CPPED1', 'CRTAC1', 'CXCL8', 'DKKL1', 'DSG4', 'FCGR2A', 'FCRL5', 'FKBP5', 'FOSB', 'GFOD2', 'GNLY', 'GPA33', 'GRN', 'GZMA', 'HDGF', 'HLA-DRA', 'ICAM1', 'IFNGR2', 'IGF2R', 'IL13', 'ISM1', 'KCNIP4', 'KIR2DL3', 'LAMA4', 'LGALS9', 'LY96', 'MAGED1', 'MATN2', 'MDGA1', 'MILR1', 'MUC13', 'MZB1', 'NCLN', 'NOMO1', 'NPTN', 'NRP1', 'NTRK3', 'PCSK9', 'PDGFC', 'PIGR', 'PM20D1', 'PON3', 'PPY', 'PTH1R', 'RAB6B', 'RANGAP1', 'SCARB1', 'SERPINB9', 'SIGLEC7', 'SIGLEC9', 'SRP14', 'SSB', 'TDGF1', 'THBS2', 'TMPRSS5', 'TNC', 'VMO1', 'XPNPEP2']",75
