,Celldensities,Function,Metavariables,Neighborhood
Vessel_stromal_Ki67,,"{'Statistic': 2244.0, 'p-value': 3.507679085552137e-05}",,
Vessel_stromal_CD44,,"{'Statistic': 1740.0, 'p-value': 8.287208911244894e-09}",,
Vessel_stromal_pERK,,"{'Statistic': 2064.0, 'p-value': 2.381689220035981e-06}",,
Vessel_stromal_pMAPKAPK2,,"{'Statistic': 2406.0, 'p-value': 0.00029980161697700165}",,
Vessel_stromal_pS6,,"{'Statistic': 2481.0, 'p-value': 0.0007416845529609269}",,
Vessel_tumorfront_pp38,,"{'Statistic': 2358.0, 'p-value': 0.0001631083491300956}",,
Vessel_tumorfront_pSTAT1,,"{'Statistic': 2325.0, 'p-value': 0.00010592728937773883}",,
Vessel_tumorfront_pSTAT3,,"{'Statistic': 2274.0, 'p-value': 5.322135945808979e-05}",,
Vessel_tumorfront_CD36,,"{'Statistic': 1812.0, 'p-value': 3.195054177229655e-08}",,
Vessel_tumorfront_E-Cadherin,,"{'Statistic': 2295.0, 'p-value': 7.088035957997307e-05}",,
Vessel_tumorfront_VEGF,,"{'Statistic': 2373.0, 'p-value': 0.00019776367027517146}",,
Vessel_tumorfront_pCREB,,"{'Statistic': 2541.0, 'p-value': 0.0014714255535212908}",,
Vessel_tumorfront_pNFkB,,"{'Statistic': 2451.0, 'p-value': 0.0005196815320069483}",,
Vessel_tumorfront_GranzymeB,,"{'Statistic': 2217.0, 'p-value': 2.391890370217309e-05}",,
Vessel_tumorfront_Ki67,,"{'Statistic': 2037.0, 'p-value': 1.5471525593336615e-06}",,
Vessel_tumorfront_CD44,,"{'Statistic': 2133.0, 'p-value': 6.938584500234378e-06}",,
Vessel_tumorfront_pERK,,"{'Statistic': 2076.0, 'p-value': 2.8782879253746725e-06}",,
Vessel_tumorfront_pMAPKAPK2,,"{'Statistic': 2355.0, 'p-value': 0.0001569012901757433}",,
Vessel_tumorfront_pS6,,"{'Statistic': 2268.0, 'p-value': 4.8998524247516716e-05}",,
Fibroblasts_stromal_pp38,,"{'Statistic': 2514.0, 'p-value': 0.0010857743391784835}",,
Fibroblasts_stromal_pSTAT1,,"{'Statistic': 2391.0, 'p-value': 0.00024847358419117246}",,
Fibroblasts_stromal_pSTAT3,,"{'Statistic': 1914.0, 'p-value': 1.9760984430165442e-07}",,
Fibroblasts_stromal_CD36,,"{'Statistic': 1797.0, 'p-value': 2.422468228914976e-08}",,
Fibroblasts_stromal_E-Cadherin,,"{'Statistic': 2262.0, 'p-value': 4.5094643809998835e-05}",,
Fibroblasts_stromal_VEGF,,"{'Statistic': 2367.0, 'p-value': 0.00018314453586782165}",,
Fibroblasts_stromal_pCREB,,"{'Statistic': 2238.0, 'p-value': 3.223598740123875e-05}",,
Fibroblasts_stromal_pNFkB,,"{'Statistic': 2424.0, 'p-value': 0.0003744819134057841}",,
Fibroblasts_stromal_GranzymeB,,"{'Statistic': 2172.0, 'p-value': 1.243397016496432e-05}",,
Fibroblasts_stromal_Ki67,,"{'Statistic': 1521.0, 'p-value': 9.896852438345302e-11}",,
Fibroblasts_stromal_CD44,,"{'Statistic': 2226.0, 'p-value': 2.7196759014051445e-05}",,
Fibroblasts_stromal_pERK,,"{'Statistic': 2031.0, 'p-value': 1.4043270253179236e-06}",,
Fibroblasts_stromal_pMAPKAPK2,,"{'Statistic': 2469.0, 'p-value': 0.0006439990231080046}",,
Fibroblasts_stromal_pS6,,"{'Statistic': 2133.0, 'p-value': 6.938584500234378e-06}",,
Fibroblasts_tumorfront_pp38,,"{'Statistic': 2385.0, 'p-value': 0.00023035072150912527}",,
Fibroblasts_tumorfront_pSTAT1,,"{'Statistic': 2475.0, 'p-value': 0.0006912396293896569}",,
Fibroblasts_tumorfront_pSTAT3,,"{'Statistic': 2307.0, 'p-value': 8.332642738550215e-05}",,
Fibroblasts_tumorfront_CD36,,"{'Statistic': 2010.0, 'p-value': 9.977131615450892e-07}",,
Fibroblasts_tumorfront_E-Cadherin,,"{'Statistic': 2082.0, 'p-value': 3.1624519935247136e-06}",,
Fibroblasts_tumorfront_VEGF,,"{'Statistic': 2469.0, 'p-value': 0.0006439990231080046}",,
Fibroblasts_tumorfront_pCREB,,"{'Statistic': 2373.0, 'p-value': 0.00019776367027517146}",,
Fibroblasts_tumorfront_pNFkB,,"{'Statistic': 2139.0, 'p-value': 7.597579744513872e-06}",,
Fibroblasts_tumorfront_GranzymeB,,"{'Statistic': 1887.0, 'p-value': 1.232465646881875e-07}",,
Fibroblasts_tumorfront_Ki67,,"{'Statistic': 1656.0, 'p-value': 1.6063706061204796e-09}",,
Fibroblasts_tumorfront_CD44,,"{'Statistic': 1824.0, 'p-value': 3.980552056740912e-08}",,
Fibroblasts_tumorfront_pERK,,"{'Statistic': 1935.0, 'p-value': 2.8384023564929717e-07}",,
Fibroblasts_tumorfront_pMAPKAPK2,,"{'Statistic': 2373.0, 'p-value': 0.00019776367027517146}",,
Fibroblasts_tumorfront_pS6,,"{'Statistic': 1971.0, 'p-value': 5.226206537567043e-07}",,
CD4 T cells naive_stromal_pp38,,"{'Statistic': 2385.0, 'p-value': 0.00023016801464788877}",,
CD4 T cells naive_stromal_pSTAT1,,"{'Statistic': 2583.0, 'p-value': 0.0023265778608117242}",,
CD4 T cells naive_stromal_pSTAT3,,"{'Statistic': 2340.0, 'p-value': 0.0001289522392396261}",,
CD4 T cells naive_stromal_CD36,,"{'Statistic': 2508.0, 'p-value': 0.0010132340957632563}",,
CD4 T cells naive_stromal_E-Cadherin,,"{'Statistic': 2547.0, 'p-value': 0.0015717904347369084}",,
CD4 T cells naive_stromal_VEGF,,"{'Statistic': 2598.0, 'p-value': 0.002729462438650939}",,
CD4 T cells naive_stromal_pCREB,,"{'Statistic': 2631.0, 'p-value': 0.0038489994504613085}",,
CD4 T cells naive_stromal_pNFkB,,"{'Statistic': 2784.0, 'p-value': 0.01652931966097896}",,
CD4 T cells naive_stromal_GranzymeB,,"{'Statistic': 2520.0, 'p-value': 0.0011616270365370671}",,
CD4 T cells naive_stromal_Ki67,,"{'Statistic': 2094.0, 'p-value': 3.8089271964122535e-06}",,
CD4 T cells naive_stromal_CD44,,"{'Statistic': 2172.0, 'p-value': 1.2420319044735283e-05}",,
CD4 T cells naive_stromal_pERK,,"{'Statistic': 2358.0, 'p-value': 0.00016297313717918068}",,
CD4 T cells naive_stromal_pMAPKAPK2,,"{'Statistic': 2772.0, 'p-value': 0.014862968753299953}",,
CD4 T cells naive_stromal_pS6,,"{'Statistic': 2481.0, 'p-value': 0.0007411857732922124}",,
CD4 T cells naive_tumorfront_pp38,,"{'Statistic': 2106.0, 'p-value': 4.581326190673466e-06}",,
CD4 T cells naive_tumorfront_pSTAT1,,"{'Statistic': 2520.0, 'p-value': 0.001160916541078527}",,
CD4 T cells naive_tumorfront_pSTAT3,,"{'Statistic': 2358.0, 'p-value': 0.00016284122483678859}",,
CD4 T cells naive_tumorfront_CD36,,"{'Statistic': 2508.0, 'p-value': 0.0010126082413388752}",,
CD4 T cells naive_tumorfront_E-Cadherin,,"{'Statistic': 2121.0, 'p-value': 5.767499461117431e-06}",,
CD4 T cells naive_tumorfront_VEGF,,"{'Statistic': 2385.0, 'p-value': 0.00022999193337849028}",,
CD4 T cells naive_tumorfront_pCREB,,"{'Statistic': 2379.0, 'p-value': 0.00021313821434451504}",,
CD4 T cells naive_tumorfront_pNFkB,,"{'Statistic': 2307.0, 'p-value': 8.317935805698525e-05}",,
CD4 T cells naive_tumorfront_GranzymeB,,"{'Statistic': 2229.0, 'p-value': 2.832488188701174e-05}",,
CD4 T cells naive_tumorfront_Ki67,,"{'Statistic': 1863.0, 'p-value': 8.016361837164684e-08}",,
CD4 T cells naive_tumorfront_CD44,,"{'Statistic': 2256.0, 'p-value': 4.140782670377266e-05}",,
CD4 T cells naive_tumorfront_pERK,,"{'Statistic': 2184.0, 'p-value': 1.4791102445410151e-05}",,
CD4 T cells naive_tumorfront_pMAPKAPK2,,"{'Statistic': 2520.0, 'p-value': 0.0011609252039256016}",,
CD4 T cells naive_tumorfront_pS6,,"{'Statistic': 2502.0, 'p-value': 0.0009452169540629813}",,
CD4 T cells memory_stromal_pp38,,"{'Statistic': 2481.0, 'p-value': 0.0007416845529609269}",,
CD4 T cells memory_stromal_pSTAT1,,"{'Statistic': 2346.0, 'p-value': 0.00013958736639245207}",,
CD4 T cells memory_stromal_pSTAT3,,"{'Statistic': 2475.0, 'p-value': 0.0006912396293896569}",,
CD4 T cells memory_stromal_CD36,,"{'Statistic': 2619.0, 'p-value': 0.0034026691359320617}",,
CD4 T cells memory_stromal_E-Cadherin,,"{'Statistic': 2379.0, 'p-value': 0.0002134740200524086}",,
CD4 T cells memory_stromal_VEGF,,"{'Statistic': 2334.0, 'p-value': 0.00011928854981369793}",,
CD4 T cells memory_stromal_pCREB,,"{'Statistic': 2418.0, 'p-value': 0.00034784473534586535}",,
CD4 T cells memory_stromal_pNFkB,,"{'Statistic': 2385.0, 'p-value': 0.00023035072150912527}",,
CD4 T cells memory_stromal_GranzymeB,,"{'Statistic': 2397.0, 'p-value': 0.00026792734402068076}",,
CD4 T cells memory_stromal_Ki67,,"{'Statistic': 2121.0, 'p-value': 5.7808747140228576e-06}",,
CD4 T cells memory_stromal_CD44,,"{'Statistic': 2154.0, 'p-value': 9.517070240637461e-06}",,
CD4 T cells memory_stromal_pERK,,"{'Statistic': 2250.0, 'p-value': 3.815429566426501e-05}",,
CD4 T cells memory_stromal_pMAPKAPK2,,"{'Statistic': 2469.0, 'p-value': 0.0006439990231080046}",,
CD4 T cells memory_stromal_pS6,,"{'Statistic': 2385.0, 'p-value': 0.00023035072150912527}",,
CD4 T cells memory_tumorfront_pp38,,"{'Statistic': 2223.0, 'p-value': 2.605906229620995e-05}",,
CD4 T cells memory_tumorfront_pSTAT1,,"{'Statistic': 2424.0, 'p-value': 0.0003744686623375395}",,
CD4 T cells memory_tumorfront_pSTAT3,,"{'Statistic': 2385.0, 'p-value': 0.00023034201877927734}",,
CD4 T cells memory_tumorfront_CD36,,"{'Statistic': 1998.0, 'p-value': 8.190294292271645e-07}",,
CD4 T cells memory_tumorfront_E-Cadherin,,"{'Statistic': 2127.0, 'p-value': 6.334382436788662e-06}",,
CD4 T cells memory_tumorfront_VEGF,,"{'Statistic': 2301.0, 'p-value': 7.686471631432523e-05}",,
CD4 T cells memory_tumorfront_pCREB,,"{'Statistic': 2541.0, 'p-value': 0.0014714150007641132}",,
CD4 T cells memory_tumorfront_pNFkB,,"{'Statistic': 2322.0, 'p-value': 0.00010179562078267044}",,
CD4 T cells memory_tumorfront_GranzymeB,,"{'Statistic': 2211.0, 'p-value': 2.194611199527528e-05}",,
CD4 T cells memory_tumorfront_Ki67,,"{'Statistic': 1809.0, 'p-value': 3.0234600592946294e-08}",,
CD4 T cells memory_tumorfront_CD44,,"{'Statistic': 2019.0, 'p-value': 1.1557420454989587e-06}",,
CD4 T cells memory_tumorfront_pERK,,"{'Statistic': 2391.0, 'p-value': 0.0002484689368909481}",,
CD4 T cells memory_tumorfront_pMAPKAPK2,,"{'Statistic': 2502.0, 'p-value': 0.0009464130858864687}",,
CD4 T cells memory_tumorfront_pS6,,"{'Statistic': 2475.0, 'p-value': 0.0006912340345276936}",,
CD4 T cells regulatory_stromal_pp38,,"{'Statistic': 2151.0, 'p-value': 9.079260601601253e-06}",,
CD4 T cells regulatory_stromal_pSTAT1,,"{'Statistic': 2241.0, 'p-value': 3.3579785257722174e-05}",,
CD4 T cells regulatory_stromal_pSTAT3,,"{'Statistic': 2211.0, 'p-value': 2.1886473794218235e-05}",,
CD4 T cells regulatory_stromal_CD36,,"{'Statistic': 2508.0, 'p-value': 0.0010132340957632563}",,
CD4 T cells regulatory_stromal_E-Cadherin,,"{'Statistic': 2319.0, 'p-value': 9.773216035213076e-05}",,
CD4 T cells regulatory_stromal_VEGF,,"{'Statistic': 2379.0, 'p-value': 0.00021330301595952488}",,
CD4 T cells regulatory_stromal_pCREB,,"{'Statistic': 2406.0, 'p-value': 0.00029957200249763064}",,
CD4 T cells regulatory_stromal_pNFkB,,"{'Statistic': 2100.0, 'p-value': 4.178316649374222e-06}",,
