,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu,FDR-adjusted p-value
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,49.5,0.016782063,0.197492551,0.212798681,0.977884134
CD4 T cells regulatory_stromal_aggregatedNeighbors.Fibroblasts,78,-0.066171139,0.409941028,0.728012536,0.977884134
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD4.T.cells.naive,59.5,0.022078653,0.454776488,0.504217044,0.977884134
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD8.T.cells,70,0.022324827,0.51362792,0.953748929,0.977884134
CD4 T cells regulatory_stromal_aggregatedNeighbors.Myeloid.Granulocytes,37,0.020631327,0.273990653,0.03528557,0.977884134
CD4 T cells regulatory_stromal_aggregatedNeighbors.Myeloid.DCs,55,0.003523407,0.349385741,0.321751366,0.977884134
CD4 T cells regulatory_stromal_aggregatedNeighbors.Myeloid.Monocytes,53,0.012259224,0.289401354,0.290956586,0.977884134
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,79,-0.035549108,0.44240144,0.682710301,0.977884134
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Fibroblasts,64,0.057672119,0.306763261,0.676994135,0.977884134
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,69.5,0.019163742,0.510908511,0.92987499,0.977884134
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,52.5,0.032156579,0.326007838,0.274529301,0.977884134
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,66,0.003147152,0.625619391,0.703245086,0.977884134
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.B.cells,70.5,-0.001728681,0.718553404,0.964420756,0.977884134
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD8.T.cells,81,-0.050851928,0.244234732,0.588280383,0.977884134
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,56,0.020531002,0.415768231,0.36079435,0.977884134
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,62,0.003492946,0.640850518,0.56940664,0.977884134
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,45.5,0.020610139,0.1545829,0.089309212,0.977884134
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.DCs,57,0.028464543,0.30807524,0.350500448,0.977884134
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,53.5,0.012299944,0.331361575,0.292191565,0.977884134
B cells_stromal_aggregatedNeighbors.Tumor.non.proliferating,85.5,-0.003873205,0.215328502,0.416903935,0.977884134
B cells_stromal_aggregatedNeighbors.Vessel,53,0.010272275,0.697566519,0.297014144,0.977884134
B cells_stromal_aggregatedNeighbors.Fibroblasts,86,-0.020591761,0.500207445,0.41730156,0.977884134
B cells_stromal_aggregatedNeighbors.CD4.T.cells.memory,57,0.02147851,0.405364322,0.41730156,0.977884134
B cells_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,57.5,0.001236219,0.504712638,0.43060122,0.977884134
B cells_stromal_aggregatedNeighbors.B.cells,63,0.028045471,0.656143569,0.643011484,0.977884134
B cells_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,51,0.012951354,0.175446392,0.246463156,0.977884134
B cells_stromal_aggregatedNeighbors.Myeloid.DCs,74,-0.001761701,0.508682368,0.906028979,0.977884134
B cells_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,100.5,-0.057856065,0.3240534,0.097893206,0.977884134
B cells_tumorfront_aggregatedNeighbors.Tumor.proliferating,75,-0.002523778,0.683356901,0.8359317,0.977884134
B cells_tumorfront_aggregatedNeighbors.Vessel,80.5,-0.049403388,0.345775024,0.621482488,0.977884134
B cells_tumorfront_aggregatedNeighbors.Fibroblasts,74.5,0.014814803,0.730283083,0.882662933,0.977884134
B cells_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,60,0.021217958,0.507156211,0.518794296,0.977884134
B cells_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,59.5,0.010563303,0.701558401,0.499877233,0.977884134
B cells_tumorfront_aggregatedNeighbors.B.cells,78,-0.045473478,0.489803242,0.724890728,0.977884134
B cells_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,62,0.004265684,0.709526678,0.569805786,0.977884134
B cells_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,62,0.014617475,0.344232362,0.516244309,0.977884134
B cells_tumorfront_aggregatedNeighbors.Myeloid.DCs,80,-0.004082065,0.413904316,0.580648706,0.977884134
B cells_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,60,0.008225016,0.694828061,0.508310839,0.977884134
CD8 T cells_intratumor_aggregatedNeighbors.Tumor.non.proliferating,57,0.096482823,0.307857621,0.41730156,0.977884134
CD8 T cells_intratumor_aggregatedNeighbors.Vessel,70,0.000207951,0.351535082,0.903844659,0.977884134
CD8 T cells_intratumor_aggregatedNeighbors.CD8.T.cells,77.5,-0.025965248,0.581002132,0.749938622,0.977884134
CD8 T cells_stromal_aggregatedNeighbors.Tumor.non.proliferating,87,-0.006792509,0.168783691,0.381173054,0.977884134
CD8 T cells_stromal_aggregatedNeighbors.Vessel,51,0.034110994,0.256843968,0.246565884,0.977884134
CD8 T cells_stromal_aggregatedNeighbors.Fibroblasts,83,-0.01451982,0.600874521,0.523928145,0.977884134
CD8 T cells_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,54,0.001281284,0.605349253,0.324241645,0.977884134
CD8 T cells_stromal_aggregatedNeighbors.B.cells,54,0.015956599,0.504258446,0.324662739,0.977884134
CD8 T cells_stromal_aggregatedNeighbors.Myeloid.Granulocytes,40.5,0.025527644,0.199371153,0.076574227,0.977884134
