,Statistic,p-value ttest,p-value mannwhitneyu
Fibroblasts_tumorfront_pCREB,413.0,0.045859857050524165,0.014991203846725944
Fibroblasts_tumorfront_pERK,444.0,0.05467776837233186,0.03804703925013529
Fibroblasts_tumorfront_pSTAT1,633.0,0.5067019148295333,0.9217511223405098
Fibroblasts_tumorfront_pSTAT3,530.0,0.11961936915956763,0.27991524419979497
Fibroblasts_tumorfront_pp38,453.0,0.05835163726701817,0.04879926562120192
Fibroblasts_tumorfront_VEGF,441.0,0.0785085059317672,0.03494316856055477
Fibroblasts_tumorfront_pS6,413.0,0.009579187036496666,0.014991203846725944
Fibroblasts_tumorfront_CD36,647.0,0.7617666385313118,0.7948516500652061
Fibroblasts_tumorfront_E.Cadherin,575.0,0.4510287816774635,0.5751532211296402
Fibroblasts_tumorfront_CD44,744.0,0.19462873749009488,0.16728745825983726
Granulocytes_stromal_pMAPKAPK2,550.0,0.22145257269486732,0.39179310028016745
Granulocytes_stromal_pNFkB,460.0,0.027532984851599152,0.056781820872345394
Granulocytes_stromal_Ki67,381.0,0.004712600666134983,0.004721591394668559
Granulocytes_stromal_GranzymeB,364.0,0.00222857934062089,0.0024986015501055484
Granulocytes_stromal_pCREB,519.0,0.14955978001553544,0.2233911451109757
Granulocytes_stromal_pERK,434.0,0.034073380544727444,0.02724983794066059
Granulocytes_stromal_pSTAT1,497.0,0.22217065316670107,0.14051156933064568
Granulocytes_stromal_pSTAT3,490.0,0.05754124851575839,0.11983947538664112
Granulocytes_stromal_pp38,497.0,0.22426396050521213,0.14051156933064568
Granulocytes_stromal_VEGF,498.0,0.2536004712523437,0.14367617322467985
Granulocytes_stromal_pS6,371.0,0.0018257481376702462,0.003261508046929833
Granulocytes_stromal_CD36,504.0,0.3230891456795181,0.16382260862357811
Granulocytes_stromal_E.Cadherin,450.0,0.07313680589204032,0.04322808638105804
Granulocytes_stromal_CD44,577.0,0.8429718076398445,0.5879665139158429
Granulocytes_tumorfront_pMAPKAPK2,604.0,0.7763183032298877,0.8194021816444859
Granulocytes_tumorfront_pNFkB,532.0,0.24168058086455182,0.2840258863270846
Granulocytes_tumorfront_Ki67,567.0,0.21246113521196988,0.5082756682248579
Granulocytes_tumorfront_GranzymeB,575.0,0.5238350088049067,0.5701315495879281
Granulocytes_tumorfront_pCREB,572.0,0.46383662000110204,0.5465200038415687
Granulocytes_tumorfront_pERK,640.0,0.8169363476819651,0.8559905806286978
Granulocytes_tumorfront_pSTAT1,617.0,0.8957836810114396,0.9393358411306378
Granulocytes_tumorfront_pSTAT3,635.0,0.8305219757628156,0.9021559725471098
Granulocytes_tumorfront_pp38,637.0,0.9200625116071026,0.8836410744188318
Granulocytes_tumorfront_VEGF,581.0,0.9075462194093205,0.618760840920155
Granulocytes_tumorfront_pS6,503.0,0.19114745208827474,0.15828497933175223
Granulocytes_tumorfront_CD36,623.0,0.8375099389337818,0.9953290478482607
Granulocytes_tumorfront_E.Cadherin,591.0,0.33979745338596457,0.7035570432203684
Granulocytes_tumorfront_CD44,679.0,0.6663189522314159,0.5234032394743985
M1.macrophages_intratumor_pMAPKAPK2,593.0,0.4230434327954248,0.7243648367395088
M1.macrophages_intratumor_pNFkB,623.0,0.5877770192320432,0.9953875813555859
M1.macrophages_intratumor_Ki67,561.0,0.550075009979935,0.46992246556021655
M1.macrophages_intratumor_GranzymeB,629.0,0.9550011781150753,0.9585067213118712
M1.macrophages_intratumor_pCREB,556.0,0.20067177482619997,0.4351474486327247
M1.macrophages_intratumor_pERK,519.0,0.1527639379471541,0.22697191326355193
M1.macrophages_intratumor_pSTAT1,590.0,0.6819641249006005,0.698521990707218
M1.macrophages_intratumor_pSTAT3,607.0,0.3129541314755596,0.8487075361666135
M1.macrophages_intratumor_pp38,642.0,0.9639835937837689,0.8396591710857476
M1.macrophages_intratumor_VEGF,600.0,0.4310478875022602,0.785853040019868
M1.macrophages_intratumor_pS6,504.0,0.0762920959429076,0.1670880520542284
M1.macrophages_intratumor_CD36,866.0,0.04864792879304756,0.005235963809294717
M1.macrophages_intratumor_E.Cadherin,699.0,0.6867260053997958,0.38904783140082544
M1.macrophages_intratumor_CD44,644.0,0.9222251555179597,0.8216270200694648
M1.macrophages_stromal_pMAPKAPK2,608.0,0.9038488087671095,0.8577758800929371
M1.macrophages_stromal_pNFkB,548.0,0.406657868484117,0.38271371851845737
M1.macrophages_stromal_Ki67,525.0,0.36154800355459016,0.25477581306078045
M1.macrophages_stromal_GranzymeB,534.0,0.3028406674597018,0.3007760267578362
