,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu,FDR-adjusted p-value
CD4 T cells regulatory_stromal_aggregatedNeighbors.B.cells,672.0,-0.01452991452991454,0.1133199334748862,0.11527339121363629,
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD8.T.cells,736.5,-0.03597756410256413,0.13169769777640183,0.09569359960183009,
CD4 T cells regulatory_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,598.5,0.0038728632478632567,0.7658692379560352,0.5148317596854085,
CD4 T cells regulatory_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,672.0,-0.010897435897435899,0.1289436759656561,0.11529848195782633,
CD4 T cells regulatory_stromal_aggregatedNeighbors.Myeloid.Granulocytes,546.0,0.018750000000000003,0.03176423156215787,0.02499879180369064,
CD4 T cells regulatory_stromal_aggregatedNeighbors.Myeloid.DCs,624.0,0.0,,1.0,
CD4 T cells regulatory_stromal_aggregatedNeighbors.Myeloid.Monocytes,688.0,-0.011538461538461537,0.06538854702336912,0.06628086565368367,
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,764.5,-0.07620192307692311,0.06597723084075854,0.054156281003295594,
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Tumor.proliferating,672.0,-0.015384615384615387,0.11200111862917499,0.1151981135842451,
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Vessel,505.0,0.0486979166666667,0.13805249303205308,0.10320677962148252,
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Fibroblasts,605.0,0.04106570512820511,0.33378265930394524,0.7795807352870099,
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,589.0,0.006009615384615391,0.768795960874395,0.5535575134319819,
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,626.5,0.007532051282051283,0.7261147456854999,0.9770195481674065,
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,624.0,0.0,,1.0,
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.B.cells,624.0,0.0,,1.0,
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD8.T.cells,732.0,-0.052644230769230776,0.04975958761957963,0.09604934286023303,
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,579.0,0.009274839743589744,0.441783871163816,0.286343520546558,
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,640.0,-0.005128205128205128,0.36880093530570346,0.3802071371873732,
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,616.0,0.008713942307692308,0.5146879901320445,0.8282948724179555,
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.DCs,581.0,0.019871794871794874,0.17828424061233947,0.21896096644816376,
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,600.5,0.008373397435897436,0.3013407232265595,0.4457043523291593,
B cells_stromal_aggregatedNeighbors.Tumor.non.proliferating,624.0,0.0,,1.0,
B cells_stromal_aggregatedNeighbors.Vessel,569.0,0.02473958333333335,0.3183103478263561,0.43163268481723416,
B cells_stromal_aggregatedNeighbors.Fibroblasts,691.5,-0.05514823717948718,0.14425407787052474,0.3199909261319257,
B cells_stromal_aggregatedNeighbors.CD4.T.cells.naive,610.5,0.0008012820512820554,0.9714468298565582,0.8436700641303339,
B cells_stromal_aggregatedNeighbors.CD4.T.cells.memory,647.5,0.0008213141025640996,0.967432015856507,0.6930514398688596,
B cells_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,624.0,0.0,,1.0,
B cells_stromal_aggregatedNeighbors.B.cells,591.0,0.027243589743589786,0.5217472577032068,0.6697341487046251,
B cells_stromal_aggregatedNeighbors.CD8.T.cells,676.0,-0.011244658119658121,0.7275312299552766,0.4935552084070963,
B cells_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,546.0,0.0203125,0.0270350021060252,0.02499879180369064,
B cells_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,624.0,0.0,,1.0,
